"f10","f15","b1","b2","b3","age","numkids","partner","selfempl","nonequity.wealth.cat","lincome","male","adv.lit.index","bsc.lit.index","edu1","edu2","edu3","edu4","edu5","edu6","retired","mkt.part"
"better","intermediate or high","3","little","some",">60",0,"Nee",NA,NA,NA,"male",-1.1327995,0.79180282,0,0,1,0,0,0,0,NA
"better","intermediate or high","6","little","some",">60",0,"Ja",0,"4",10.825779,"male",0.9449876,0.79180282,0,0,0,0,0,1,1,1
"better","intermediate or high","6","some","little","50s",1,"Ja",0,"4",10.345599,"male",0.66165787,0.49042296,0,1,0,0,0,0,0,0
"better","intermediate or high","5","little","some",">60",0,"Ja",0,"3",9.8914289,"male",-0.70814443,0.79180282,0,0,1,0,0,0,1,0
"no sibling","intermediate or high","5","little","some",">60",0,"Ja",0,"3",9.402914,"male",-0.80061156,-1.9398515,0,1,0,0,0,0,1,0
"no sibling","low","5","some","a lot","50s",1,"Ja",NA,NA,9.8373585,"female",-0.6837284,-3.4405901,0,1,0,0,0,0,0,NA
"better","intermediate or high","4","hardly at all","some",">60",0,"Nee",0,"4",10.108031,"female",0.25024477,-2.5763009,0,1,0,0,0,0,0,0
"better","intermediate or high","5","some","some","40s",2,"Ja",NA,NA,10.768746,"male",0.56968325,0.15866753,0,0,0,1,0,0,0,NA
"no sibling","intermediate or high","4","some","some","50s",0,"Nee",0,"4",9.899971,"male",0.68232536,0.79180282,0,1,0,0,0,0,0,0
"no sibling","intermediate or high","5","some","some",">60",0,"Ja",0,"1",10.296165,"male",-0.15970616,-1.948145,0,0,1,0,0,0,0,0
"better","intermediate or high","6","hardly at all","hardly at all","50s",0,"Nee",0,NA,9.5944023,"female",-2.2568152,-0.44740623,0,1,0,0,0,0,0,0
"worse","intermediate or high","4","hardly at all","some","40s",0,"Nee",0,"4",10.565479,"female",0.28123564,0.79180282,0,0,0,0,1,0,0,0
"no sibling","low","6","some","a lot","40s",2,"Ja",1,"3",10.367507,"male",0.71639264,0.79180282,0,0,0,0,1,0,0,1
"better","intermediate or high","4","little","some","40s",4,"Ja",0,"4",13.828298,"male",0.77207023,0.79180282,0,0,1,0,0,0,0,1
"no sibling","intermediate or high","6","some","some","50s",0,"Ja",0,NA,9.8213682,"male",0.85747272,0.49042296,0,0,0,0,1,0,0,1
"no sibling","intermediate or high","5","little","some",">60",0,"Nee",0,"1",9.4415245,"male",0.49524415,-1.6163895,0,1,0,0,0,0,1,0
"no sibling","intermediate or high","4","little","little",">60",0,"Nee",0,"3",10.328827,"female",0.29836738,-1.3116957,0,0,0,0,1,0,1,0
"better","intermediate or high","5","little","little","50s",0,"Nee",0,"3",9.8503637,"female",-2.3921213,0.15866753,0,0,0,0,1,0,0,0
"better","intermediate or high","4","a lot","some",">60",0,"Nee",NA,NA,NA,"female",0.72060239,0.79180282,0,0,0,0,1,0,1,NA
"worse","intermediate or high","6","little","little",">60",0,"Ja",0,"2",10.12386,"male",0.78144199,0.49042296,0,1,0,0,0,0,1,1
"worse","intermediate or high","7 zeer goed","a lot","a lot","40s",4,"Ja",0,"4",11.549346,"male",0.87911451,0.79180282,0,0,0,0,0,1,0,1
"better","intermediate or high","6","a lot","some",">60",0,"Ja",0,"4",10.675869,"male",0.4136844,-0.67856038,0,0,0,1,0,0,1,1
"better","low","2","hardly at all","little","50s",1,"Nee",NA,NA,10.012317,"male",-1.4810857,0.49042296,0,1,0,0,0,0,0,NA
"better","intermediate or high","5","some","little",">60",0,"Ja",0,NA,9.7618561,"male",0.9449876,0.79180282,0,0,1,0,0,0,1,1
"better","intermediate or high","4","little","little",">60",0,"Nee",0,"1",9.5009136,"male",0.26265043,-0.14602637,0,1,0,0,0,0,1,0
"better","dont know","5","a lot","some",">60",0,"Ja",0,"4",10.422396,"male",0.12969527,0.79180282,0,0,0,0,1,0,1,1
"better","intermediate or high","Ik weet het niet","hardly at all","hardly at all","30s",0,"Nee",0,NA,9.2225609,"female",-2.4862831,-4.6797991,0,0,1,0,0,0,0,1
"better","intermediate or high","6","some","little","50s",0,"Nee",0,NA,8.9971008,"male",0.8910414,0.79180282,0,0,0,0,1,0,0,1
"worse","intermediate or high","6","some","some",">60",0,"Nee",0,"3",10.675593,"male",0.89514899,0.79180282,0,0,0,0,0,1,1,1
"worse","intermediate or high","5","some","little",">60",0,"Nee",NA,NA,9.6080494,"male",-0.18476258,0.79180282,0,0,0,1,0,0,1,NA
"better","intermediate or high","5","little","some",">60",0,"Ja",0,"4",10.068219,"male",0.89946336,0.79180282,0,0,0,0,1,0,1,1
"worse","intermediate or high","Ik weet het niet","little","little","40s",0,"Ja",0,"3",10.492243,"male",-1.4986107,0.15866753,0,0,1,0,0,0,0,1
"no sibling","intermediate or high","4","some","a lot",">60",0,"Nee",0,"3",9.5304079,"female",-0.68934631,-0.14602637,0,0,0,0,0,1,1,1
"better","intermediate or high","5","some","a lot",">60",0,"Ja",NA,NA,10.273569,"male",0.25420395,0.49042296,0,0,0,0,0,1,1,NA
"no sibling","intermediate or high","7 zeer goed","some","some",">60",0,"Nee",0,"4",10.521079,"male",0.85747272,0.49042296,0,0,0,1,0,0,1,1
"worse","low","5","some","some","50s",0,"Ja",NA,NA,NA,"male",0.85747272,0.79180282,0,0,0,0,1,0,0,NA
"better","intermediate or high","1 zeer slecht","hardly at all","little","40s",2,"Ja",0,"3",10.755772,"female",-0.74652761,0.79180282,0,1,0,0,0,0,0,0
